ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender
krd_000217_proverbs,,Akănse urahéba.,Il vaut mieux abandonner une tâche impossible que de perdre du temps et de l'énergie.,It is better to abandon an impossible task than to waste time and energy.,proverbs,,,,,,
krd_000218_proverbs,,Akŏsha umusyi kava mū ngásīro.,"Celui qui présente la tentation se trouve toujours à proximité, souvent parmi vos plus chers.","The one who presents temptation is always found close by, often among your dearest.",proverbs,,,,,,
krd_000219_proverbs,,Akŭzuye ntíkamuríkwa.,Les faits visibles n'ont pas besoin de confirmation.,Visible facts need no confirmation.,proverbs,,,,,,
krd_000220_proverbs,,Amaborōgo y'ûmwâgazi ntátērá impuhwe ingwe.,Les larmes de l'agneau ne touchent pas le cœur du tigre.,The lamb's tears do not move the tiger's heart.,proverbs,,,,,,
krd_000221_language,,Amabwirizwa yose ategerezwa guhindurwa mu kirundi.,Toutes les commandes doivent être traduites en Kirundi.,All orders must be translated into Kirundi.,language,,,,,,
krd_000222_proverbs,,Amabárankúru yashíkanye inyěnzi i Buha.,Un auditeur dévoué voyage loin pour des histoires qui captivent.,A dedicated listener journeys far for tales that captivate.,proverbs,,,,,,
krd_000223_proverbs,,Amabóko ashikîriye ubuhîye yībagira umushike.,La fatigue de l'ouvrier fatigué s'efface lorsque le trésor du succès brille devant lui.,The weary laborer's fatigue fades when the treasure of success gleams before them.,proverbs,,,,,,
krd_000224_proverbs,,Amabóko matīndi y'úmukŏbwa asegura uwĭshe sé.,Une femme insensée aide involontairement ses propres ennemis.,A foolish woman unwittingly aids her own enemies.,proverbs,,,,,,
krd_000225_proverbs,,Amabānga abiri ntábāngíkana.,Vous ne pouvez pas monter deux chevaux avec un derrière.,You cannot ride two horses with one behind.,proverbs,,,,,,
krd_000226_proverbs,,Amacúmu arwānyá inzara ní amasúka.,La table de l'abondance est dressée par la main laborieuse.,The table of abundance is set by the laboring hand.,proverbs,,,,,,
krd_000227_proverbs,,Amacúmu atērwa abagabo.,Seuls les forts peuvent supporter le poids des défis de la vie.,Only the strong can bear the weight of life's challenges.,proverbs,,,,,,
krd_000228_proverbs,,Amaguru yītāngira ku buriri agatāhira mu mirâmbizo.,Ceux qui s'efforcent d'être à l'avant-plan finissent souvent par être à la traîne.,Those who strive to be in the forefront often end up trailing behind.,proverbs,,,,,,
krd_000229_proverbs,,Amagára aruta amagana.,Un corps sain vaut plus que toutes les richesses.,A healthy body is worth more than all the riches.,proverbs,,,,,,
krd_000230_proverbs,,Amagúfa abiri ntábāngíkana mw'ītáma.,On ne peut pas tenir deux os dans la bouche simultanément.,Two bones cannot be held in the mouth simultaneously.,proverbs,,,,,,
krd_000231_proverbs,,Amagŏrwa ntásigá ayăndi.,Les ennuis ne viennent jamais seuls.,Troubles never come alone.,proverbs,,,,,,
krd_000232_proverbs,,Amagŏrwa sí ay'ŭmwe.,"L'adversité ne discrimine pas, elle touche tout le monde.","Adversity does not discriminate, it touches everyone.",proverbs,,,,,,
krd_000233_proverbs,,Amaherá ntíyīrírwa ahó yarāyé.,"Comme le vent, l'argent voyage et change de mains.","Like the wind, money travels and changes hands.",proverbs,,,,,,
krd_000234_proverbs,,Amahása avyinirwa ahό yavūkíye.,Les jumeaux sont célébrés là où ils sont nés.,Twins are celebrated where they were born.,proverbs,,,,,,
krd_000235_proverbs,,Amahóro aba mū nda.,La vraie paix se trouve dans les profondeurs de l'âme.,True peace is found in the depths of the soul.,proverbs,,,,,,
krd_000236_proverbs,,Amahóro aruta amahōnda.,"La paix est le véritable sustento de l'âme, surpassant tout festin.","Peace is the true sustenance of the soul, surpassing any feast.",proverbs,,,,,,
krd_000237_proverbs,,Amahóro atāngurira mu mutíma.,La paix commence de l'intérieur.,Peace starts from within.,proverbs,,,,,,
krd_000238_proverbs,,Amahóro ava mū nda.,La paix vient de l'intérieur.,Peace is from within.,proverbs,,,,,,
krd_000239_proverbs,,Amajambo mashasha y’Ikirundi aravuka,les Nouveaux mots Kirundi naissent,New Kirundi words are born,proverbs,,,,,,
krd_000240_general,,"Amakenga aba menshi, aca yiva inyuma ahenura urugi, arinjira.Asanga ibirago biriko birasha, urusenge narwo rugira rufatwe.","Les doutes prennent le dessus,puis il prend tout ces forces et poussant la porte, dès l'entrée il voit le tapis qui prenait feu et le toit etait sur le point de prendre le feu.","Doubts take over, then he takes all his strength and pushes the door, as soon as he enters he sees the carpet catching fire and the roof was about to catch fire.",general,,,,,,
krd_000241_proverbs,,Amakúru atarímwo umukúru yāma arí amazímwe.,L'histoire est solide quand elle est confirmée par une voix officielle.,The story is solid when it echoes from the official voice.,proverbs,,,,,,
krd_000242_proverbs,,Amanyáma arasara ntásabá.,L'arrogance disparaît face au besoin.,Arrogance disappears in the face of need.,proverbs,,,,,,
krd_000243_proverbs,,Amanyáma atērwa n'ágashămbara.,L'arrogance est une ombre de prospérité qui disparaît avec l'adversité.,Arrogance is a shadow of prosperity that disappears with adversity.,proverbs,,,,,,
krd_000244_proverbs,,Amarira ní umuheto w'úruhînja.,Les larmes sont le moyen pour un bébé d'exprimer ses besoins.,Tears are a baby's way of expressing needs.,proverbs,,,,,,
krd_000245_proverbs,,Amarára ntágurá inyama.,Un désir excessif n'aboutit pas toujours à des résultats favorables.,Excess desire doesn't always lead to favorable outcomes.,proverbs,,,,,,
krd_000246_proverbs,,Amaráso ava mu ruguma.,Une blessure libérera toujours du sang.,A wound will always release blood.,proverbs,,,,,,
krd_000247_proverbs,,Amasabo aguma nk'ámabuye.,Demander de l'aide peut être une tâche redoutable.,Requesting assistance can be a daunting task.,proverbs,,,,,,
krd_000248_proverbs,,Amasabo akwănkiye arāba imirázi.,Les signes d'échec apparaissent souvent dès le début.,The signs of failure often appear from the very beginning.,proverbs,,,,,,
krd_000249_proverbs,,Amasabo arakíza.,Chercher de l'aide est la clé pour surmonter les défis.,Seeking help is the key to overcoming challenges.,proverbs,,,,,,
krd_000250_proverbs,,Amasabo arîca.,Toujours s'appuyer sur les autres peut entraver la croissance personnelle.,Always leaning on others can hinder personal growth.,proverbs,,,,,,
krd_000251_grammar,,Amashure matoya atunganijwe mu myaka itandatu,L'école primaire est organisé  en six ans,Primary school is organized in six years,grammar,,,,,,
krd_000252_general,,Amashure yisumbuye,Écoles secondaires,Secondary schools,general,,,,,,
krd_000253_vocabulary,,Amashurwe ni meza.,Les fleurs sont belles.,The flowers are beautiful.,vocabulary,,,,,,
krd_000254_proverbs,,Amasé ya kêra ntáhomá urutaro.,Les coutumes du passé ne correspondent plus aux comportements d'aujourd'hui.,The customs of the past no longer align with the behaviors of today.,proverbs,,,,,,
krd_000255_proverbs,,Amasîndé y'înkúmi ntárārá.,Un champ dégagé d'une jeune fille ne reste pas inactif longtemps.,A cleared field of a young maiden doesn't stay idle for long.,proverbs,,,,,,
krd_000256_proverbs,,Amasūnzu sí amasáka.,Ne tirez pas de conclusions basées sur l'apparence.,Don't jump to conclusions based on looks.,proverbs,,,,,,
krd_000257_proverbs,,Amatwí yūmva icó umutíma ushasháye.,"Nous ne voyons pas les choses telles qu'elles sont, nous les voyons telles que nous sommes.","We don't see things as they are, we see things as we are.",proverbs,,,,,,
krd_000258_proverbs,,Amaté mabí ní ayagîye gusa.,Même une petite portion vaut mieux que le vide complet.,Even a small portion is better than complete emptiness.,proverbs,,,,,,
krd_000259_proverbs,,Amatégeko aremēra nk'ámabuye.,Les lois sont aussi rigides que les montagnes.,Laws are as rigid as mountains.,proverbs,,,,,,
krd_000260_grammar,,Amavuta ayamusuka ku mutwe,Elle lui a versé de l'huile sur la tête,She poured the oil on his head,grammar,,,,,,
krd_000261_proverbs,,Amayira y'íshāmba amenywa n'îmêndé.,"Pour gagner en perspicacité, apprends de ceux qui ont vu la vue.","To gain insights, learn from those who have seen the view.",proverbs,,,,,,
krd_000262_grammar,,"Amaze gutaha, yabonye abashitsi","Lorsqu'il fut rentré chez lui, il vit les visiteurs.",When he had gone home he saw the visitors.,grammar,,,,,,
krd_000263_grammar,,"Amaze imisi mirongwine yisonzesheje, abona gusonza",Il a jeûné pendant 40 jours et puis il a eu faim,He fasted for 40 days and then he was hungry,grammar,,,,,,
krd_000264_grammar,,"Amaze kuvuga artyo, aduzwa babona","Après avoir parlé ainsi, il fut repris, ils le voyant",Having spoken thus he was taken up they seeing it,grammar,,,,,,
krd_000265_action-verbs,,Amazi arakanye.,L'eau est froide.,The water is cold.,action-verbs,,,,,,
krd_000266_vocabulary,,Amazi asa neza,L'eau est très propre.,The water is very clean.,vocabulary,,,,,,
krd_000267_proverbs,clips/sound_proverb/prov016.mp3,Amazi masabano ntamara imvyiro.,Travailler dur est plus gratifiant que de dépendre de l’aumône.,Working hard is more rewarding than depending on handouts.,proverbs,,,,,,
krd_000268_vocabulary,,Amazi ni meza.,L'eau est très propre.,The water is very clean.,vocabulary,,,,,,
krd_000269_action-verbs,,Amazina yawe ni ayahe?,Quel est votre nom?,What is your name?,action-verbs,,,,,,
krd_000270_grammar,,Amenya neza adakekeranya yukw ico yasezeranye ishobora no kugikora,"Il savait bien, sans douter, que ce qu'il avait promis, il était également capable de le faire.",He knew well without doubting that that which he had promised he was able also to do,grammar,,,,,,
krd_000271_proverbs,,Amáta y'ûmwôro ní umúfa.,"Dans le silence de la solitude, une voix douce est une musique pour les oreilles.","In the silence of loneliness, a soft voice is music to the ears.",proverbs,,,,,,
krd_000272_proverbs,,Amâso arasuma arí kure.,"Même à distance, les yeux peuvent faire un achat.","Even from a distance, eyes can make a purchase.",proverbs,,,,,,
krd_000273_proverbs,,Amâso y'íbikére ntábuzá abavôma.,"Vos actions vous appartiennent, indépendamment de l'opinion des autres.","Your actions are yours to choose, regardless of others' opinions.",proverbs,,,,,,
krd_000274_proverbs,,Amâso y'ύwŭndi ntágushĭmira umugeni.,Personne ne peut pleinement saisir la beauté de ta femme comme toi.,No one can fully grasp the beauty of your wife like you do.,proverbs,,,,,,
krd_000275_proverbs,,Amâzi arashûha ntíyībágira i bŭmbehó.,"Pendant que vous atteignez de grandes hauteurs, ne perdez pas de vue vos origines et ceux qui vous ont soutenu.","While you achieve great heights, don't lose sight of your origins and the ones who supported you.",proverbs,,,,,,
krd_000276_proverbs,,Amâzi asūmira ku mabuye.,L'eau crée du bruit ou du son lorsqu'elle rencontre des obstacles comme des pierres sur son chemin.,Water creates noise or sound when it encounters obstacles like stones in its path.,proverbs,,,,,,
krd_000277_proverbs,,Amâzi iyό abāyé maké aharirwa impfîzi.,"En période de pénurie, les plus forts s'accaparent tout.","In times of scarcity, the strongest claim it all.",proverbs,,,,,,
krd_000278_proverbs,clips/sound_proverb/prov016.mp3,Amâzi masabano ntámará imvyíro.,Travailler dur est plus gratifiant que de dépendre de l’aumône.,Working hard is more rewarding than depending on handouts.,proverbs,,,,,,
krd_000279_proverbs,,Amênyo aragutwēnga arí ayâwé.,"Dans certaines situations, on peut trouver de l'humour en examinant comment on a pris une certaine décision malheureuse.","In certain situations, you can find humor in examining how you made a certain unfortunate decision.",proverbs,,,,,,
krd_000280_proverbs,,Amênyo araryâna kăndi yêra.,Des dents blanches peuvent cacher une douleur invisible.,White teeth may hold unseen pain.,proverbs,,,,,,
krd_000281_proverbs,,Amênyo aratwēnga asíze intîmba mū nda.,Un visage joyeux peut cacher un cœur tourmenté.,A cheerful face may mask a troubled heart.,proverbs,,,,,,
krd_000282_proverbs,,Amîshitso y'úmugeni yōza inkόno icūmbá.,Son comportement est particulièrement agréable lorsqu'elle vient de se marier.,Her behavior is especially pleasant when she's just married.,proverbs,,,,,,
krd_000283_proverbs,,Amôsozi y'úmugabo atēmba ája mū nda.,Les larmes de l'homme tombent dans le puits de son cœur.,Man's tears fall into the well of his heart.,proverbs,,,,,,
krd_000284_proverbs,,Amûnguranká ní yo mazíkēsha.,"Gardez les yeux ouverts, ce qui est bénéfique aujourd'hui peut devenir un fardeau demain.","Keep your eyes open, what's beneficial today can become a burden tomorrow.",proverbs,,,,,,
krd_000285_proverbs,,Amēru y'úmukwé amara indŏngoranywa.,"Lorsque l'irresponsabilité et la cupidité se combinent, un homme peut épuiser ses ressources avant de remplir leur objectif initial.","When irresponsibility and greed combine, a man might exhaust his resources before fulfilling their original purpose.",proverbs,,,,,,
krd_000286_action-verbs,,Arabimenyesha mw’ijambo ashikiriza abanyagihugu.,Il va l'annoncer dans son discours au peuple.,He will announce it in his speech to the people.,action-verbs,,,,,,
krd_000287_adjectives,,Araciye ubwenge gose.,Elle est très intelligente.,She is very intelligent.,adjectives,,,,,,
krd_000288_adjectives,,Araciye ubwenge.,Elle est très intelligente.,She is very intelligent.,adjectives,,,,,,
krd_000289_action-verbs,,Arafata za Vitamini.,Elle prend des vitamines.,She takes vitamins.,action-verbs,,,,,,
krd_000290_grammar,,Aragapfa!,Laissez-le mourir,Let him die,grammar,,,,,,
krd_000291_action-verbs,,Arakora ikinga.,Il répare la bicyclette.,He repairs the bicycle.,action-verbs,,,,,,
krd_000292_action-verbs,,Arakora imyimenyerezo kenshi gashoboka,Il fait du sport régulièrement.,He exercises regularly.,action-verbs,,,,,,
krd_000293_action-verbs,,Arakora imyimenyerezo yo kwigorora.,Elle fait du yoga.,She does yoga.,action-verbs,,,,,,
krd_000294_action-verbs,,Arandika ibaruwa.,Elle écrit une lettre.,She writes a letter.,action-verbs,,,,,,
krd_000295_grammar,,Ararwaye,Il est malade,He is ill,grammar,,,,,,
krd_000296_action-verbs,,Aratwara imodoka,Il conduit une voiture.,He drives a car.,action-verbs,,,,,,
krd_000297_action-verbs,,Aratwara umuduga.,Il conduit une voiture.,He drives a car.,action-verbs,,,,,,
krd_000298_grammar,,Aravuga ikirundi nyaco,Il parle très bien le kirundi,He speaks excellent Kirundi,grammar,,,,,,
krd_000299_action-verbs,,Aravuza gitari.,Il joue de la guitare.,He plays the guitar.,action-verbs,,,,,,
krd_000300_action-verbs,,Aravuza igitari.,Il joue de la guitare.,He plays the guitar.,action-verbs,,,,,,
