ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender
krd_002511_grammar,,"Utange ivyo uguhumanurwa kwawe, nk’uko Mose yageze","Offrez les choses pour votre purification, comme Moïse l'a ordonné","Offer the things for your cleansing, as Mose commanded",grammar,,,,,,
krd_002512_proverbs,,"Utazi Ikirundi, burya uba waratakaje imizi.","Si vous ne connaissez pas le Kirundi, vous avez perdu vos racines.","If you don't know Kirundi, you have lost your roots.",proverbs,,,,,,
krd_002513_proverbs,,Uturorero:   Ivy'aha vyama mu nzira,Exemples : Ici Il ya toujours le désordre,Examples: Here there is always disorder,proverbs,,,,,,
krd_002514_proverbs,,Uturuka buká ugatāha bunyama.,Un mauvais début mène à une mauvaise fin.,A bad beginning leads to a bad ending.,proverbs,,,,,,
krd_002515_proverbs,,Utw'ûmwôro twōmwēgēra.,"Ce qui vous appartient, gardez-le près de vous.","What belongs to you, keep it close to you.",proverbs,,,,,,
krd_002516_proverbs,,Utwâwé ní utwó urāyé urîye.,Vos vrais biens sont ceux que vous pouvez saisir.,Your true belongings are those within your grasp.,proverbs,,,,,,
krd_002517_proverbs,,Utāmbira umwămi atagushăka akakwīta umusazi.,Danser pour une pierre ne fera que vous rendre ridicule.,Dancing for a stone will only make you look foolish.,proverbs,,,,,,
krd_002518_proverbs,,Utēka ubúsa ukamira ubŭndi.,"Si vous ne semez pas, vous ne récolterez pas.","If you don't sow, you won't reap.",proverbs,,,,,,
krd_002519_proverbs,,Uvyiyumvirako iki?,Qu'est-ce que tu en penses?,What do you think?,proverbs,,,,,,
krd_002520_proverbs,,Uwabâye mwīzá aba muzima.,Un vrai homme est mesuré par la bonté dans son cœur.,A true man is measured by the goodness in his heart.,proverbs,,,,,,
krd_002521_proverbs,,Uwabírimye sí we yabírīye.,"Il a attrapé le poisson, mais d'autres ont profité du repas.","He caught the fish, but others enjoyed the meal.",proverbs,,,,,,
krd_002522_proverbs,,Uwagôwe aherekeza uwagôtse.,Ceux qui sont dans la misère sont ceux qui soutiendraient un traître.,Those in misery are the ones who would stand by a traitor's side.,proverbs,,,,,,
krd_002523_grammar,,Uwapfuye aba atsindanishirijwe icaha,Celui qui est mort serait justifié du péché,He that has died would be justified of sin,grammar,,,,,,
krd_002524_proverbs,,Uwapfûye yarîhūse.,"Partis trop tôt, ils ont raté les marées changeantes.","Gone too soon, they missed the changing tides.",proverbs,,,,,,
krd_002525_proverbs,,Uwatînye gupfá ntíyavûtse.,Celui qui a peur de tomber n'apprendra jamais à voler.,He who is afraid to fall will never learn to fly.,proverbs,,,,,,
krd_002526_jokes,clips/sound_humour/h23.mp3,Uwo inzara abonye mugenziwe atwawe n'impfyisi ati abari n'ababo barabaseha!,"""Seuls ceux qui ont de la famille sont approvisionnés"", comme disait l'homme lors d'une famine en voyant son voisin emmené par la hyène !","""Only those who have family are supplied,"" as the man said during a famine seeing his neighbor taken away by the hyena!",jokes,,,,,,
krd_002527_proverbs,,Uwu munsi ni mwiza.,Cette journée est belle.,This day is beautiful.,proverbs,,,,,,
krd_002528_proverbs,,Uwubwîra uwŭmva ntávuníka.,"À une oreille attentive, peu de mots suffisent.","To a willing ear, few words are needed.",proverbs,,,,,,
krd_002529_proverbs,,Uwubândwa ní we abāndá urūgi.,Seuls les intrépides relèvent les défis difficiles.,Only the fearless take on difficult tasks.,proverbs,,,,,,
krd_002530_proverbs,,Uwubûndabūnda abonwa n'úwuhágaze.,Celui qui agit en secret peut être vu par des yeux invisibles.,The one who acts in secret may be witnessed by unseen eyes.,proverbs,,,,,,
krd_002531_proverbs,,Uwubûranye ikinyóma aragítsīndanwa.,Le défenseur des mensonges tombe dans son propre piège.,The defender of lies falls into his own trap.,proverbs,,,,,,
krd_002532_proverbs,,Uwudásavyé ntákirá.,"Si vous ne demandez pas, vous n'obtenez pas.","If you don't ask, you don't get.",proverbs,,,,,,
krd_002533_proverbs,,Uwudáshōnjé ntáshērá.,Seul un estomac vide connaît la douleur de la mendicité.,Only an empty stomach knows the pain of begging.,proverbs,,,,,,
krd_002534_proverbs,,Uwudásizé umwâna asiga umugáni.,"Même sans laisser de descendance, une personne devrait s'efforcer de créer un héritage durable par des actions significatives.","Even without leaving behind any offspring, a person should strive to create a lasting legacy through meaningful actions, .",proverbs,,,,,,
krd_002535_proverbs,,Uwudátēyé ntásorόma.,"Si vous n'avez pas semé, vous ne pouvez pas vous attendre à récolter.","If you haven't sown, you can't expect to harvest.",proverbs,,,,,,
krd_002536_proverbs,,Uwufíse amâso ahēndwa biké.,Celui qui a des yeux ne sera pas facilement trompé.,He who has eyes will not be easily fooled.,proverbs,,,,,,
krd_002537_proverbs,,Uwufíse ikimuri ntáhakúrira hāsí.,"Dans le noir, la lumière empêche votre assiette de tomber.","In the dark, light keeps your plate from falling.",proverbs,,,,,,
krd_002538_proverbs,,Uwufíse imbwá ntâtá igúfa.,Avoir un chien signifie ne pas gaspiller les os à la poubelle.,Having a dog means not wasting bones in the garbage.,proverbs,,,,,,
krd_002539_proverbs,clips/sound_proverb/prov044.mp3,Uwugusize intambwe aba agusize,Le premier oiseau attrape le ver,The first bird catches the worm,proverbs,,,,,,
krd_002540_proverbs,,Uwugômba isīmbo asīmba urugó.,"Quand tu désires vraiment quelque chose, tu dois t'efforcer sans relâche.","When you truly desire something, you must exert yourself relentlessly.",proverbs,,,,,,
krd_002541_proverbs,,Uwugômba kugabana arazīnduka.,Celui qui souhaite être accordé par le roi doit venir tôt.,He who wishes to be granted by the king must come early.,proverbs,,,,,,
krd_002542_proverbs,,Uwugôwe agōra Imâna.,L'âme misérable se tourne vers les cieux pour obtenir du soulagement.,The wretched soul turns to the heavens for relief.,proverbs,,,,,,
krd_002543_proverbs,,Uwugôwe aragōka.,"Au milieu des troubles, les vulnérables peuvent abandonner leurs principes pour un gain personnel.","Amidst troubles, the vulnerable may forsake principles for personal gain.",proverbs,,,,,,
krd_002544_proverbs,,Uwugôwe umuryāngo uramwākīra.,"Quand on est dans le besoin, les mains de la famille se tendent pour aider.","When one is in need, the family's hands extend to help.",proverbs,,,,,,
krd_002545_proverbs,,Uwugúhanūra kurēndegera aba agúteze umushíbuká.,"Méfiez-vous de ceux qui prêchent l'insouciance, car ils peuvent chercher votre chute.","Be wary of the ones who preach carelessness, as they may be seeking your downfall.",proverbs,,,,,,
krd_002546_proverbs,,Uwugúsavye umwūhīro aba agútaze umusêsekará.,Demander plus de vous est un souhait subtil pour votre abondance.,"Requesting more from you, is a subtle wish for your abundance.",proverbs,,,,,,
krd_002547_proverbs,,Uwugútānze gukáraba agutānga kubega.,L'oiseau matinal attrape le ver.,The early bird catches the worm.,proverbs,,,,,,
krd_002548_proverbs,,Uwuhána inzara arayirimira.,"Pour lutter contre la faim, il faut travailler plus dur.","To fight against hunger, you need to work harder.",proverbs,,,,,,
krd_002549_proverbs,,Uwuhána umurozi amubītsa umwâna.,"Si vous voulez tester la vraie nature d'une personne, confiez-lui quelque chose de précieux.","If you want to test a person's true nature, entrust them with something valuable.",proverbs,,,,,,
krd_002550_proverbs,,Uwuhânzwe n'îsînzí ntásīnzîra.,"Quand on est entouré d'ennemis, on dort d'un œil ouvert.","When surrounded by enemies, sleep with one eye open.",proverbs,,,,,,
krd_002551_proverbs,,Uwuhâwe n'Îmâna ntíyāmbúrwa n'úmuyaga.,La serrure de ta fortune ne s'ouvre qu'avec ta propre clé.,The lock to your fortune only opens to your key.,proverbs,,,,,,
krd_002552_proverbs,,Uwuhâwe n'úmwămi acānira Uburŭndi búbona.,"Celui qui est accordé par le roi prend son repas en paix, sans interférence.","He who is granted by the king enjoys his meal in peace, without interference.",proverbs,,,,,,
krd_002553_proverbs,,Uwuhâwe n'úmwămi atēkera Uburŭndi búbona.,"Celui qui est accordé par le roi prend son repas en paix, sans interférence.","He who is granted by the king enjoys his meal in peace, without interference.",proverbs,,,,,,
krd_002554_proverbs,,Uwuhênzwe n'ágahêngwé acāna inkīnzo.,Celui qui est bercé par la paix peut oublier le besoin d'une épée.,He who is lulled by peace may forget the need for a sword.,proverbs,,,,,,
krd_002555_proverbs,,Uwuhôngera umwânsi amara inká.,"Quand vous cherchez le pardon d'un ennemi avec des cadeaux, cela devient un schéma récurrent.","When you seek forgiveness from an enemy with gifts, it becomes a recurring pattern.",proverbs,,,,,,
krd_002556_proverbs,,Uwujá gukíra indwâra arayirāta.,"Quand vous partagez votre maladie, vous invitez la guérison.","When you share your sickness, you invite healing.",proverbs,,,,,,
krd_002557_proverbs,,Uwujá gukíra urwîmo arwīma ururími.,"En temps de trouble, le silence offre une protection.","In times of trouble, silence offers protection.",proverbs,,,,,,
krd_002558_proverbs,,Uwujá gusíga imvúra arayirorēra.,"Dans la course contre la pluie, attendre assure une fin sèche.","In the race against the rain, waiting ensures a dry finish.",proverbs,,,,,,
krd_002559_proverbs,,Uwujá gutûnga arima abagēnzi.,"Méfiez-vous de disperser votre richesse à tous, car vous pourriez finir sans rien.","Beware of scattering your wealth to all, for you may end up with none.",proverbs,,,,,,
krd_002560_proverbs,,Uwujá kubá mu Burŭndi agira amâso ntágirá amatwí.,"Pour se marier, il faut avoir des yeux et non des oreilles.","To get married, one must have eyes and not ears.",proverbs,,,,,,
krd_002561_proverbs,,Uwujá kugaya ijāmbo arāba umunwa urivúze.,Celui qui ignore la parole c'est à cause de l'orateur.,He who ignores the word is because of the speaker.,proverbs,,,,,,
krd_002562_proverbs,,Uwujá mu rugό rw'úwŭndi asiga ingeso kw'īrêmbo.,"En entrant dans la maison de quelqu'un d'autre, laissez vos manières à la porte.","When entering someone else's house, leave your manners at the door.",proverbs,,,,,,
krd_002563_action-verbs,,Uwukora Imikate n'Umubanyi.,Le boulanger est mon voisin.,The baker is my neighbor.,action-verbs,,,,,,
krd_002564_proverbs,,Uwukêngurutse aba yôngeje.,Un cœur reconnaissant cherche davantage de bénédictions.,A grateful heart seeks more blessings.,proverbs,,,,,,
krd_002565_proverbs,,Uwukíze inkúba arayígānīra.,Ceux qui échappent de justesse au danger racontent l'histoire à quiconque veut l'écouter.,Those who narrowly escape danger tell the story to anyone who will listen.,proverbs,,,,,,
krd_002566_proverbs,,Uwukíze isěmu yībagira icămwīrukana.,"Dans les bons moments, les cicatrices des épreuves sont facilement négligées.","In good times, the scars of hardship are easily overlooked.",proverbs,,,,,,
krd_002567_proverbs,,Uwukíze ubusóre arabuganira.,"Quand un homme quitte le chemin solitaire, que les cloches joyeuses sonnent et que le cœur des amis brille.","When a man leaves the single road, let joyous bells ring and friends' hearts be glowed.",proverbs,,,,,,
krd_002568_proverbs,,Uwukóma amashí ntákubítwa kū ntoke.,"Ne détournez pas la main tendue, car elle porte un appel à l'aide.","Do not turn away from the outstretched hand, for it carries a plea for help.",proverbs,,,,,,
krd_002569_proverbs,,Uwukúbita igishěgu arakijāniranya.,"Si tu commences une guerre, prépare-toi à te battre jusqu'à la fin.","If you start a war, prepare to fight until the end.",proverbs,,,,,,
krd_002570_proverbs,,Uwukúbita inkēnde ntárābíra iyiháka.,"Un cœur malveillant ne fait pas de distinction, nuisant à tous sur son passage.","A heart of malice knows no distinction, harming all in its path.",proverbs,,,,,,
krd_002571_proverbs,,Uwukúrusha umugóre akurusha urugó.,"Une maison avec une bonne femme est comme un jardin fleuri de roses, tandis qu'une maison sans elle est comme un désert stérile.","A home with a good woman is like a garden flourishing with roses, while a home without one is like a barren desert.",proverbs,,,,,,
krd_002572_proverbs,,Uwukúrāvye cāne agutēra kwāmbara.,"Lorsque les gens vous corrigent constamment, c'est un signal pour vous réévaluer.","When people are constantly fixing you, it's a signal to reevaluate yourself.",proverbs,,,,,,
krd_002573_proverbs,,Uwumáze umwâka aba arâmvye.,Passer une année est un pas vers la longévité.,Spending a year is a step towards longevity.,proverbs,,,,,,
krd_002574_proverbs,,Uwupfûye aba arúhūtse.,La mort apporte à l'âme fatiguée un repos éternel.,Death brings the weary soul to eternal repose.,proverbs,,,,,,
krd_002575_proverbs,,Uwurâmvye arabόna.,"Plus vous vivez longtemps, plus vous êtes témoin et comprenez.","The longer you live, the more you witness and understand.",proverbs,,,,,,
krd_002576_proverbs,,Uwurérewe n'Îmâna agira ngo arusha abăndi guhana.,Les gens sont simplement bénis par Dieu et pensent qu'ils sont spéciaux.,People are just blessed by God and think they are special.,proverbs,,,,,,
krd_002577_proverbs,,Uwurí mū ntăhe arêzwa ntíyīyéza.,"Un homme juste est justifié par les faits, non par sa propre défense.","A just man is vindicated by the facts, not his own defense.",proverbs,,,,,,
krd_002578_proverbs,,Uwurívuze mu gushēngera ntâbá agîye.,Celui qui exprime son dernier souhait avant de partir reste gravé dans le cœur de ceux qu'il laisse derrière lui.,One who expresses their last wish before passing away remains etched in the hearts of those they leave behind.,proverbs,,,,,,
krd_002579_proverbs,,Uwurûmbije umugόre ntásārûra umwâna.,"Pour planter la graine de la vie, il faut nourrir la flamme du désir.","To plant the seed of life, one must nurture the flame of desire.",proverbs,,,,,,
krd_002580_proverbs,,Uwushâka akêzá aragáhebera.,Les meilleures choses dans la vie valent la peine de se battre.,The best things in life are worth fighting for.,proverbs,,,,,,
krd_002581_proverbs,,Uwushâka inká aryāma nka zό.,"Agissez comme un local, soyez traité comme un local.","Act like a local, be treated like a loca.",proverbs,,,,,,
krd_002582_proverbs,,Uwushâka kukúrya ntáburá imbóga agukóza.,Un esprit malveillant n'a pas besoin de raison pour frapper.,A malicious mind needs no reason to strike.,proverbs,,,,,,
krd_002583_proverbs,,Uwushâka umubíra abira akŭya.,"Si vous voulez vraiment quelque chose, soyez prêt à transpirer pour l'obtenir.","If you want something badly enough, be prepared to sweat for it.",proverbs,,,,,,
krd_002584_proverbs,,Uwushâka umucé acīka ijoro.,La route du succès est pavée de nuits blanches.,The road to success is paved with sleepless nights.,proverbs,,,,,,
krd_002585_proverbs,,Uwushâka urwâmo yēnga urwârwá.,"Pour créer une atmosphère animée, organisez une soirée arrosée.","To create a lively atmosphere, host a drinking gathering.",proverbs,,,,,,
krd_002586_proverbs,,Uwusába Imâna ntásarágara.,Celui qui cherche auprès de Dieu ne se lasse jamais.,The one who seeks from God never grows weary.,proverbs,,,,,,
krd_002587_proverbs,,Uwusába agasákanyíka aranūkirwa akîhorera.,Celui qui cherche des faveurs auprès de quelqu'un qu'il n'aime pas persévère jusqu'à obtenir ce qu'il veut.,"He who seeks favors from someone he dislikes, perseveres until he gets what he wants.",proverbs,,,,,,
krd_002588_proverbs,clips/sound_proverb/prov028.mp3,Uwutazi umuti awunyako.,L'ignorance tue.,Ignorance kills.,proverbs,,,,,,
krd_002589_proverbs,,Uwutsînzwe ntíbatsīndáho.,Ceux qui ont perdu méritent un cœur tendre et une main aidante.,Those who have lost deserve a tender heart and a helping hand.,proverbs,,,,,,
krd_002590_proverbs,,Uwutábusyá abwīta ubumera.,Les personnes qui ne sont pas activement engagées ont tendance à considérer que c'est simple.,People who aren't actively engaged tend to consider it simple.,proverbs,,,,,,
krd_002591_proverbs,,Uwutábōnyé agasóhoka ntáboná akĭnjira.,"Plus vous donnez, plus vous recevez.","The more you give, the more you receive.",proverbs,,,,,,
krd_002592_proverbs,,Uwutáco agirá ntáco agayá.,"Quand tu ne possèdes rien, même le geste le plus simple est chéri.","When you possess nothing, even the simplest gesture is cherished.",proverbs,,,,,,
krd_002593_proverbs,,Uwutágirá ubwôba aba atágirá ubwênge.,Un cœur sans peur peut conduire à des actions insensées.,A fearless heart can lead to foolish actions.,proverbs,,,,,,
krd_002594_proverbs,,Uwutágiríwe n'Îmâna ntíyīgírira.,Ce qui n'est pas donné par Dieu ne peut être acquis par l'homme.,What is not given by God cannot be gained by man.,proverbs,,,,,,
krd_002595_proverbs,,Uwutáharí asa n'úwapfûye.,Une âme absente semble être un souvenir lointain.,An absent soul feels like a distant memory.,proverbs,,,,,,
krd_002596_proverbs,,Uwutárahéra aba arahékenya.,Être en vie est une raison de savourer la vie.,Being alive is a reason to savor life.,proverbs,,,,,,
krd_002597_proverbs,,Uwutári bukuvúne yōkuva inyuma.,Celui qui retient l'aide ne peut être compté comme un ami fidèle.,He who withholds help cannot be counted as a faithful friend.,proverbs,,,,,,
krd_002598_proverbs,,Uwutárihό azigamirwa n'úmuryāngo.,Ce n'est qu'à l'ombre de l'absence que les piliers de la loyauté se dressent haut.,Only in the shadow of absence do the pillars of loyalty stand tall.,proverbs,,,,,,
krd_002599_proverbs,,Uwutárābóna ntávugá.,"Si vous ne l'avez pas vu, n'en parlez pas.","If you haven't witnessed it, don't speak of it.",proverbs,,,,,,
krd_002600_proverbs,,Uwutárāgēnda yīta umwâna Nzirakugēnda.,Les inexpérimentés sous-estiment souvent les capacités des autres.,The inexperienced often underestimate the abilities of others.,proverbs,,,,,,
